RSAF2;94;ITEMS IN TRANSIT FOR AP10;106;R
RSAF2;95;ITEMS IN TRANSIT FOR AP11;0;R
RSAF2;96;ITEMS IN TRANSIT--NOT REC'VD IN 10 DAY'S;106;R
RSAF2;97;ITEMS ON DEFECT INVESTIGATION;0;R
RSAF2;98;items received into repair in Aug 99;0;R
RSAF2;99;items received into repair in July 99;0;R
RSAF2;100;items received into repair in June 99;0;R
RSAF2;101;items received into repair in Sep 99;0;R
RSAF2;102;ITEMS REC'VD 01/09/99 to 9/10/99;109;R
RSAF2;103;ITEMS REC'VD BETWEEN 1/5/99 AND 31/8/99;20;R
RSAF2;104;ITEMS REC'VD BETWEEN 1/6/99 AND 30/6/99;5;R
RSAF2;105;ITEMS REC'VD Contract dues for November 99;5;R
RSAF2;106;ITEMS REC'VD IN 1999;18221;R
RSAF2;107;ITEMS REC'VD IN 1999 STILL IN WIP;0;R
RSAF2;108;ITEMS REC'VD IN AP10;109;R
RSAF2;109;ITEMS REC'VD IN AP11;58;R
RSAF2;110;ITEMS REC'VD IN JUN 99 --- NOT DELIVERED;0;R
RSAF2;111;LEAFIELD TEST SETS IN WIP;1;R
RSAF2;112;LPT VANES REC'VD IN 1998;50;R
RSAF2;113;LUCAS ACCESSORIES IN WIP;76;R
RSAF2;114;lucas cards returned in 1997;84;R
RSAF2;115;LUCAS ITEMS DESP'D SINCE JAN96;9614;R
RSAF2;116;LUCAS O-DUES;150;R
RSAF2;117;LUCAS W/H PRTS WIP;6;R
RSAF2;118;LUCAS W-H ITEMS DUE CONTRACTUALLY SINCE JAN97;145;R
RSAF2;119;MAIN ACCY'S DESP'D IN MAR 99(dfk);7;R
RSAF2;120;MAIN ACCY'S IN WIP;75;R
RSAF2;121;main lucas items returned in 1998;222;R
RSAF2;122;MARSTON GREEN PRTS IN WIP;60;R
RSAF2;123;MARSTON GREEN PRTS REC'VD IN 95;73;R
RSAF2;124;MARSTON GREEN PRTS REC'VD IN 96;78;R
RSAF2;125;MARSTON GREEN PRTS REC'VD IN 97;106;R
RSAF2;126;M-F-C-UNITS REC'VD SINCE OCT 96;833;R
RSAF2;127;MODULE 10 COSTS SINCE JAN 95;790;R
RSAF2;128;MODULE 10's REC'VD IN 1998;650;R
RSAF2;129;MODULE 12 COSTS SINCE JAN 95;358;R
RSAF2;130;MODULE 16's DESP'D FOR DIMEBAR MARRIOTT;186;R
RSAF2;131;MODULES DESP IN 99;4575;R
RSAF2;132;MODULES DESP'CHD IN MAR 99 (dfk);39;R
RSAF2;133;MODULES DESP'CHD SINCE AUG 96 (JEFF MILLER);5398;R
RSAF2;134;MODULES DESP'CHD SINCE SEPT 96 (JMJ);5374;R
RSAF2;135;MODULES DUE OUT;147;R
RSAF2;136;MODULES IN  WORK;23;R
RSAF2;137;MODULES IN TRANSIT FOR REPAIR;40;R
RSAF2;138;MODULES IN TRANSIT FOR REPAIR2;40;R
RSAF2;139;MODULES IN TRANSIT OR IN WORK;187;R
RSAF2;140;MODULES O/DUE FROM 98;0;R
RSAF2;141;MODULES OVERDUE >90 DAYS;80;R
RSAF2;142;MODULES REC'VD 1-AUG TO 30-NOV 97;15;R
RSAF2;143;MODULES REC'VD AT ANSTY SINCE 1 AUG 97;983;R
RSAF2;144;MODULES REC'VD IN 1996;349;R
RSAF2;145;MODULES REC'VD IN 1997;346;R
RSAF2;146;MODULES REC'VD IN 1998;4937;R
RSAF2;147;MODULES REC'VD IN 1998 -- MEM;333;R
RSAF2;148;MODULES REC'VD IN 98 & NOT DESP'D;4722;R
RSAF2;149;MODULES REC'VD OR DESP'CHD IN APR99;20;R
RSAF2;150;MODULES REC'VD OR DESP'CHD IN AUG99;1;R
RSAF2;151;MODULES REC'VD OR DESP'CHD IN DEC98;52;R
RSAF2;152;MODULES REC'VD OR DESP'CHD IN FEB99;25;R
RSAF2;153;MODULES REC'VD OR DESP'CHD IN JAN99;39;R
RSAF2;154;MODULES REC'VD OR DESP'CHD IN JUL99;2;R
RSAF2;155;MODULES REC'VD OR DESP'CHD IN JUN99;2;R
RSAF2;156;MODULES REC'VD OR DESP'CHD IN MAR99;39;R
RSAF2;157;MODULES REC'VD OR DESP'CHD IN MAY99;18;R
RSAF2;158;MODULES REC'VD OR DESP'CHD IN NOV99;20;R
RSAF2;159;MODULES REC'VD OR DESP'CHD IN OCT99;14;R
RSAF2;160;MODULES REC'VD OR DESP'CHD IN SEP99;20;R
RSAF2;161;MODULES WIP;147;R
RSAF2;162;MTU ACCESSORY ITEMS WTG INVOICES;902;R
RSAF2;163;MTU MODULES IN TRANSIT FOR REPAIR;9;R
RSAF2;164;MTU MODULES WIP;65;R
RSAF2;165;MTU MODULES--WIP;65;R
RSAF2;166;MTU WIP PP & ACC;31;R
RSAF2;167;N-C-UNITS REC'VD SINCE OCT 96;765;R
RSAF2;168;NCU's AND TRCU's RETURNED IN 96 & 97;125;R
